Date,AAPL,MSFT,Benchmark
2019-12-31,,,
2020-01-02,,,
2020-01-03,,,
2020-01-06,,,
2020-01-07,,,
2020-01-08,,,
2020-01-09,,,
2020-01-10,,,
2020-01-13,0.0,0.0,0.0
2020-01-14,,,
2020-01-15,,,
2020-01-16,0.0,0.0,0.0
2020-01-17,,,
2020-01-21,,,
2020-01-22,,,
2020-01-23,0.0,0.0,0.0
2020-01-24,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,,,
2020-01-30,,,
2020-01-31,0.0,0.0,0.0
2020-02-03,1.3493,1.3493,1.3493
2020-02-04,0.0,0.0,0.0
2020-02-05,-0.9429,-0.9429,-0.9429
2020-02-06,0.0,0.0,0.0
2020-02-07,9.6433,9.6433,9.6433
2020-02-10,0.0,0.0,0.0
2020-02-11,,,
2020-02-12,,,
2020-02-13,,,
2020-02-14,,,
2020-02-18,,,
2020-02-19,0.0,0.0,0.0
2020-02-20,,,
2020-02-21,,,
2020-02-24,,,
2020-02-25,,,
2020-02-26,,,
2020-02-27,,,
2020-02-28,,,
2020-03-02,0.0,0.0,0.0
2020-03-03,,,
2020-03-04,,,
2020-03-05,,,
2020-03-06,,,
2020-03-09,,,
2020-03-10,,,
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,0.0,0.0,0.0
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-20,0.0,0.0,0.0
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-27,,,
2020-04-28,0.0,0.0,0.0
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-18,0.0,0.0,0.0
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,13.4126,13.4126,13.4126
2020-06-01,-0.9232,-0.9232,-0.9232
2020-06-02,0.0,0.0,0.0
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,0.0,0.0,0.0
2020-06-19,,,
2020-06-22,,,
2020-06-23,,,
2020-06-24,,,
2020-06-25,,,
2020-06-26,,,
2020-06-29,,,
2020-06-30,,,
2020-07-01,,,
2020-07-02,0.0,0.0,0.0
2020-07-06,,,
2020-07-07,,,
2020-07-08,,,
2020-07-09,,,
2020-07-10,,,
2020-07-13,0.0,0.0,0.0
2020-07-14,,,
2020-07-15,,,
2020-07-16,0.0,0.0,0.0
2020-07-17,,,
2020-07-20,,,
2020-07-21,,,
2020-07-22,,,
2020-07-23,,,
2020-07-24,,,
2020-07-27,,,
2020-07-28,,,
2020-07-29,,,
2020-07-30,,,
2020-07-31,0.0,0.0,0.0
2020-08-03,,,
2020-08-04,,,
2020-08-05,-0.1692,-0.1692,-0.1692
2020-08-06,0.0,0.0,0.0
2020-08-07,,,
2020-08-10,,,
2020-08-11,0.0,0.0,0.0
2020-08-12,,,
2020-08-13,,,
2020-08-14,84.7398,84.7398,84.7398
2020-08-17,-0.3575,-0.3575,-0.3575
2020-08-18,0.0,0.0,0.0
2020-08-19,-0.968,-0.968,-0.968
2020-08-20,0.0,0.0,0.0
2020-08-21,-0.4351,-0.4351,-0.4351
2020-08-24,0.0,0.0,0.0
2020-08-25,84.5927,84.5927,84.5927
2020-08-26,0.0,0.0,0.0
2020-08-27,-0.7058,-0.7058,-0.7058
2020-08-28,1.6426,1.6426,1.6426
2020-08-31,-0.9821,-0.9821,-0.9821
2020-09-01,0.0,0.0,0.0
2020-09-02,45.0587,45.0587,45.0587
2020-09-03,0.0,0.0,0.0
2020-09-04,-0.9695,-0.9695,-0.9695
2020-09-08,0.0,0.0,0.0
2020-09-09,,,
2020-09-10,,,
2020-09-11,,,
2020-09-14,,,
2020-09-15,,,
2020-09-16,,,
2020-09-17,,,
2020-09-18,,,
2020-09-21,,,
2020-09-22,,,
2020-09-23,,,
2020-09-24,,,
2020-09-25,,,
2020-09-28,,,
2020-09-29,,,
2020-09-30,,,
2020-10-01,,,
2020-10-02,,,
2020-10-05,,,
2020-10-06,,,
2020-10-07,,,
2020-10-08,,,
2020-10-09,0.0,0.0,0.0
2020-10-12,,,
2020-10-13,,,
2020-10-14,-0.9829,-0.9829,-0.9829
2020-10-15,0.0,0.0,0.0
2020-10-16,,,
2020-10-19,,,
2020-10-20,,,
2020-10-21,,,
2020-10-22,0.1528,0.1528,0.1528
2020-10-23,-0.0415,-0.0415,-0.0415
2020-10-26,-0.9241,-0.9241,-0.9241
2020-10-27,0.0,0.0,0.0
2020-10-28,,,
2020-10-29,,,
2020-10-30,,,
2020-11-02,,,
2020-11-03,,,
2020-11-04,,,
2020-11-05,,,
2020-11-06,,,
2020-11-09,0.0,0.0,0.0
2020-11-10,,,
2020-11-11,,,
2020-11-12,,,
2020-11-13,,,
2020-11-16,,,
2020-11-17,,,
2020-11-18,,,
2020-11-19,,,
2020-11-20,,,
2020-11-23,,,
2020-11-24,,,
2020-11-25,,,
2020-11-27,,,
2020-11-30,,,
2020-12-01,0.0,0.0,0.0
2020-12-02,0.3657,0.3657,0.3657
2020-12-03,0.0,0.0,0.0
2020-12-04,10.903,10.903,10.903
2020-12-07,-0.9105,-0.9105,-0.9105
2020-12-08,0.0,0.0,0.0
2020-12-09,,,
2020-12-10,,,
2020-12-11,7.5359,7.5359,7.5359
2020-12-14,-0.0202,-0.0202,-0.0202
2020-12-15,-0.9376,-0.9376,-0.9376
2020-12-16,15.3537,15.3537,15.3537
2020-12-17,0.0,0.0,0.0
2020-12-18,,,
2020-12-21,,,
2020-12-22,,,
2020-12-23,,,
2020-12-24,,,
2020-12-28,,,
2020-12-29,,,
2020-12-30,,,
2020-12-31,,,
2021-01-04,0.0,0.0,0.0
2021-01-05,,,
2021-01-06,,,
2021-01-07,,,
2021-01-08,,,
2021-01-11,,,
2021-01-12,,,
2021-01-13,,,
2021-01-14,,,
2021-01-15,,,
2021-01-19,,,
2021-01-20,,,
2021-01-21,,,
2021-01-22,,,
2021-01-25,,,
2021-01-26,,,
2021-01-27,,,
2021-01-28,0.4407,0.4407,0.4407
2021-01-29,0.0,0.0,0.0
2021-02-01,,,
2021-02-02,,,
2021-02-03,9.6382,9.6382,9.6382
2021-02-04,-0.9092,-0.9092,-0.9092
2021-02-05,12.9521,12.9521,12.9521
2021-02-08,0.0,0.0,0.0
2021-02-09,-0.2229,-0.2229,-0.2229
2021-02-10,0.0,0.0,0.0
2021-02-11,0.2526,0.2526,0.2526
2021-02-12,0.0,0.0,0.0
2021-02-16,,,
2021-02-17,,,
2021-02-18,0.0,0.0,0.0
2021-02-19,-0.9363,-0.9363,-0.9363
2021-02-22,0.0,0.0,0.0
2021-02-23,,,
2021-02-24,,,
2021-02-25,0.0,0.0,0.0
2021-02-26,,,
2021-03-01,,,
2021-03-02,,,
2021-03-03,,,
2021-03-04,,,
2021-03-05,,,
2021-03-08,,,
2021-03-09,,,
2021-03-10,,,
2021-03-11,,,
2021-03-12,,,
2021-03-15,,,
2021-03-16,0.0,0.0,0.0
2021-03-17,,,
